index,totalseconds,Pre_nuts_attitude,Senario,Impression_of_host_or_comments,Halo_or_Bandwagon_effect_feedback,After_nuts_attitude,Buying_intention,Recallofproductonsalefeedback,Retestofpreferenceontheproduct,Recallofhostimagedirectionoflivecomments,Eventuallydoyouliketheproduct,Doyouagreetobuyeventually,Gender,Age,Monthlyincome,totalvalue
162,202,2,3,4,5,4,7,3,5,3,7,3,1,4,4,37
184,189,2,3,4,5,5,3,3,5,3,2,3,1,4,5,29
191,191,1,3,4,7,7,7,3,1,3,4,2,2,7,7,33
207,201,5,3,4,5,7,6,3,7,3,5,4,1,3,3,43
225,94,4,3,4,5,7,7,3,7,3,4,5,2,3,3,43
247,92,1,3,4,2,4,1,3,1,3,2,1,2,7,4,16
264,189,5,3,4,5,7,7,3,7,3,4,4,1,2,2,43
278,109,5,3,4,5,5,7,3,5,3,7,5,1,6,7,43
279,90,5,3,4,5,5,7,3,5,3,7,5,1,6,7,43
287,120,2,3,4,6,7,6,3,4,3,4,1,1,1,1,34
312,102,2,3,4,5,6,7,3,5,3,7,3,2,7,3,39
322,87,6,3,4,5,6,5,3,4,3,4,3,2,7,2,37
342,149,3,3,4,6,7,5,3,4,3,4,3,1,3,3,36
389,159,5,3,4,6,5,4,3,6,4,7,4,1,1,1,41
391,104,5,3,4,5,5,5,3,4,3,7,4,1,2,2,39
419,82,6,3,4,4,5,7,3,5,3,4,6,1,3,3,41
477,177,6,3,4,5,6,7,3,7,3,7,6,1,3,3,48
484,85,7,3,4,7,7,5,3,7,3,4,1,1,5,6,42
487,94,5,3,4,6,7,7,3,7,3,6,4,1,5,5,46
498,161,5,3,4,6,4,6,3,6,3,7,3,1,2,3,41
503,87,6,3,4,5,6,6,3,5,3,5,5,1,2,3,42
537,182,7,3,4,5,5,5,3,6,3,2,1,2,5,5,35
539,185,5,3,4,6,6,7,3,6,3,6,1,1,3,3,41
543,133,6,3,4,5,4,6,3,5,3,6,4,1,3,4,40
550,107,1,3,4,6,6,5,3,1,3,7,5,1,4,4,35
582,98,5,3,4,7,5,5,3,4,3,7,1,1,1,1,38
38,83,6,4,7,7,7,7,3,7,2,7,7,1,7,1,55
60,54,5,4,5,5,5,5,3,5,1,5,4,2,4,2,39
65,55,7,4,7,6,6,6,3,6,1,6,6,1,5,2,50
69,34,6,4,5,5,5,5,3,4,1,4,5,2,3,2,39
117,170,5,4,5,6,6,6,3,5,1,5,5,2,6,1,43
129,303,7,4,7,1,7,7,3,7,1,7,7,1,5,2,50
133,121,7,4,7,7,7,7,3,7,1,7,7,2,5,2,56
141,49,6,4,6,2,6,6,3,6,1,6,6,1,5,1,44
147,95,7,4,7,7,7,7,3,7,1,7,7,2,6,2,56
154,77,7,4,7,5,5,5,3,7,1,5,5,1,6,1,46
163,86,5,4,6,3,5,5,3,5,1,5,5,2,2,2,39
173,129,5,4,5,5,5,2,3,5,1,5,2,2,2,2,34
183,32,5,4,6,5,5,5,3,5,1,5,7,1,4,3,43
196,236,6,4,6,2,6,4,3,4,4,4,4,1,5,2,36
1,189,7,4,5,7,7,4,3,5,1,5,4,1,2,2,44
24,141,6,4,6,4,6,6,3,4,1,6,6,2,5,3,44
34,131,5,4,5,6,6,6,3,7,4,4,4,1,3,4,43
65,99,6,4,7,4,6,7,3,7,1,6,1,2,7,2,44
76,111,4,4,6,5,6,6,3,4,1,6,1,1,2,3,38
84,107,7,4,6,5,5,7,3,7,1,6,5,2,3,4,48
85,176,5,4,7,7,5,4,3,7,1,6,1,1,7,2,42
103,116,5,4,7,5,4,7,3,4,1,4,5,2,2,2,41
107,186,1,4,6,6,5,4,3,1,1,6,5,1,2,3,34
118,100,7,4,7,5,6,7,3,4,1,4,4,2,7,3,44
120,139,6,4,7,5,6,5,3,6,1,7,7,2,1,1,49
122,187,2,4,6,6,7,7,3,4,4,7,4,1,2,2,43
131,182,6,4,7,5,7,7,3,7,1,4,1,2,1,1,44
145,145,6,4,6,5,4,7,3,7,1,4,2,1,7,2,41
159,142,5,4,5,6,7,6,3,7,1,6,1,1,4,4,43
195,97,5,4,6,5,4,4,3,6,1,4,5,1,1,1,39
204,192,1,4,7,5,4,5,3,3,1,6,3,2,7,1,34
217,124,5,4,6,5,4,7,3,7,1,6,1,2,6,3,41
220,183,7,4,7,7,5,4,3,4,1,6,6,2,3,3,46
232,88,5,4,6,5,7,6,3,6,1,7,5,1,5,6,47
235,96,5,4,5,5,7,6,3,6,1,4,4,2,4,4,42
296,201,6,4,7,4,6,7,3,5,4,6,5,2,7,3,46
298,167,6,4,6,4,6,5,3,3,1,3,6,2,2,2,39
304,137,5,4,6,6,5,7,3,7,1,4,4,1,4,3,44
310,139,6,4,6,7,6,5,3,5,4,4,3,2,7,3,42
326,121,5,4,5,5,7,7,3,4,1,7,1,1,2,2,41
329,162,6,4,6,5,4,7,3,7,1,7,6,1,7,3,48
345,162,4,4,6,6,6,5,3,7,1,4,4,1,3,4,42
357,143,6,4,7,6,5,5,3,7,1,7,4,2,3,3,47
364,85,6,4,6,6,4,5,3,7,1,6,4,1,5,5,44
367,110,3,4,7,6,4,6,3,4,1,7,1,2,3,4,38
368,190,5,4,7,5,5,4,3,7,1,7,1,2,5,3,41
373,199,3,4,6,6,5,6,3,4,1,7,1,1,2,2,38
378,190,7,4,5,5,7,5,3,5,1,7,4,2,5,7,45
392,132,5,4,5,5,4,7,3,6,1,7,2,2,7,6,41
411,121,6,4,5,6,4,5,3,4,1,6,5,2,7,7,41
414,142,5,4,5,7,4,6,3,4,1,6,6,1,2,2,43
425,140,6,4,5,6,6,6,3,6,1,7,6,2,4,3,48
438,163,5,4,6,5,5,7,3,4,1,6,4,1,3,3,42
439,100,3,4,7,6,5,7,3,4,1,7,5,1,1,1,44
447,158,6,4,5,6,7,7,3,7,1,6,4,1,2,2,48
455,200,6,4,7,6,6,7,3,5,1,6,4,2,7,2,47
457,161,1,4,5,6,6,7,3,1,1,7,2,1,3,4,35
458,109,7,4,5,5,6,6,3,7,4,4,4,1,3,3,44
460,119,6,4,6,5,4,5,3,7,1,6,6,2,6,7,45
481,177,6,4,6,5,4,4,3,7,1,6,4,2,2,3,42
490,199,2,4,6,6,4,5,3,2,1,7,2,2,7,2,34
492,175,5,4,7,5,4,6,3,6,1,6,1,1,3,3,40
508,125,5,4,6,6,5,7,3,6,1,4,4,1,4,3,43
511,159,5,4,7,6,5,6,3,4,1,6,2,1,3,3,41
528,179,3,4,6,7,5,6,3,5,1,4,1,1,7,1,37
547,163,4,4,7,5,7,7,3,7,1,6,4,1,4,6,47
548,144,7,4,5,6,4,6,3,7,1,6,1,2,7,5,42
559,180,6,4,5,6,4,5,3,6,1,6,1,2,7,1,39
562,148,6,4,7,6,6,5,3,6,1,4,3,2,7,2,43
564,140,4,4,5,5,7,7,3,4,1,4,1,1,7,2,37
575,122,5,4,5,6,7,6,3,7,1,6,4,2,4,3,46
591,93,7,4,5,5,7,4,3,7,1,6,4,2,7,2,45
10,47,7,4,7,7,7,7,3,6,4,6,7,1,5,1,54
26,173,5,4,6,6,6,6,3,6,2,6,6,2,5,2,47
33,38,7,4,7,7,7,7,3,7,1,7,7,1,4,2,56
37,64,5,4,5,5,5,5,3,5,2,5,5,1,4,1,40
57,65,7,4,5,5,6,5,3,6,1,6,6,1,6,2,46
75,109,5,4,6,5,5,5,3,5,2,5,5,2,5,2,41
101,110,4,4,5,4,5,4,3,4,2,4,5,1,5,2,35
123,38,7,4,7,7,7,7,3,7,2,7,7,2,3,1,56
126,43,6,4,6,6,6,6,3,5,1,6,6,1,5,2,47
195,221,4,4,5,5,4,1,3,5,2,5,2,1,7,2,31
3,189,1,4,7,7,6,7,3,3,2,4,5,1,4,3,40
4,171,7,4,6,6,6,7,3,7,2,4,1,1,7,1,44
5,92,6,4,6,5,7,6,3,5,2,4,1,2,3,4,40
7,117,5,4,5,5,4,4,3,7,2,6,4,1,5,7,40
8,156,5,4,6,7,7,7,3,5,2,4,7,2,7,2,48
26,143,5,4,7,7,5,4,3,5,2,7,3,1,6,3,43
46,116,1,4,5,5,6,3,3,1,2,4,6,2,7,2,31
54,107,7,4,7,5,4,5,3,7,2,6,4,2,7,6,45
67,95,4,4,6,7,4,7,3,7,2,4,2,1,3,4,41
70,92,2,4,6,5,4,3,3,5,2,6,5,2,5,7,36
106,198,5,4,6,6,6,7,3,6,2,6,4,2,3,4,46
111,164,6,4,6,4,6,7,3,6,4,6,5,1,2,3,46
112,198,5,4,6,6,6,7,3,7,2,4,1,2,3,4,42
116,128,6,4,6,5,5,4,3,5,2,6,1,1,2,3,38
121,200,5,4,7,7,7,5,3,7,2,6,3,2,3,3,47
125,115,7,4,6,6,4,7,3,4,2,4,4,1,3,4,42
150,136,6,4,7,4,7,5,3,5,2,6,3,1,2,2,43
152,178,7,4,7,4,7,5,3,4,2,4,2,1,1,1,40
156,176,5,4,5,6,6,7,3,7,2,6,4,2,3,3,46
163,201,1,4,6,5,3,3,3,1,4,3,4,1,7,3,26
167,146,1,4,7,6,6,7,3,2,2,7,1,1,7,2,37
179,112,5,4,7,4,7,4,3,7,2,6,3,1,3,3,43
199,112,7,4,7,4,4,5,3,4,2,4,1,2,7,3,36
200,130,3,4,7,6,4,6,3,5,2,4,5,2,4,3,40
226,105,5,4,5,6,7,7,3,4,2,6,7,2,7,3,47
257,138,5,4,7,5,6,4,3,7,2,5,4,2,4,7,43
260,151,6,4,6,5,4,6,3,5,2,7,5,1,3,3,44
269,109,1,4,6,4,4,7,3,1,2,7,7,2,2,2,37
281,104,6,4,5,6,4,7,3,6,2,6,6,1,2,2,46
284,160,5,4,6,5,6,4,3,7,2,6,5,1,3,3,44
301,160,5,4,7,6,5,4,3,7,2,4,5,1,7,7,43
308,198,2,4,7,5,6,4,3,3,2,6,4,2,1,1,37
328,152,6,4,5,5,4,7,3,5,2,6,6,1,7,1,44
333,190,7,4,7,5,7,6,3,6,4,5,4,2,7,4,47
372,123,5,4,7,5,4,6,3,6,2,7,4,1,2,2,44
383,174,6,4,6,4,6,4,3,7,2,7,4,1,3,4,44
384,194,6,4,7,6,5,5,3,7,2,4,1,1,3,4,41
388,182,6,4,5,5,4,5,3,7,2,4,5,1,6,5,41
408,107,6,4,7,6,4,7,3,5,2,5,1,2,5,6,41
